"CellNumber","Cluster","DistanceToCentroid"
560,1,123.008949321374
561,1,208.033163678849
562,1,117.559048133732
563,1,230.473284165517
564,3,150.564875399328
565,1,74.4301773372003
566,1,219.995522235532
567,1,117.817486389609
568,6,513.969360314087
569,1,171.943836013479
570,6,581.010599157985
571,3,91.2272090722806
572,6,255.205003913182
573,3,405.145451971919
574,3,144.260816203424
575,1,154.896435913178
576,3,335.765280950002
577,3,134.49137826041
578,1,142.149095604292
579,3,135.12220324451
580,1,114.662507289053
581,2,173.501297838919
582,6,281.616227250337
583,2,215.010938923318
584,1,169.600732068592
585,5,112.330309971124
586,2,169.388603070573
587,6,214.608461621885
588,6,311.3438553889
589,1,227.077415588997
590,1,92.7372637925538
591,6,294.837986691173
592,2,298.260897933322
593,1,127.398513426572
594,3,161.969550401639
595,1,209.045119610561
596,3,380.43044103879
597,2,116.569532114992
598,6,116.562862588179
599,6,316.329897337093
600,1,352.35450436388
601,1,166.771495038014
602,3,286.129861134726
603,2,179.056624229103
604,3,152.363093962457
605,6,262.653405568558
606,1,486.651322561215
607,6,532.601312635611
608,1,362.262119974473
609,2,202.458310047409
610,1,117.572270640317
611,1,129.604657297484
612,1,164.697468429683
613,1,120.971493979226
614,1,120.149105018054
615,6,160.150025754468
616,2,597.415678757915
617,2,370.989791867411
618,1,120.197362935362
619,1,110.906186509962
620,3,89.2920886933631
621,3,289.794646236587
622,2,144.538070002037
623,1,198.926746424046
624,1,89.2667523364898
625,3,485.424573715323
626,1,162.088304035459
627,5,81.6766837294442
628,2,281.770584954121
629,3,461.191341972406
630,1,181.050272597308
631,2,167.092761616616
632,6,305.862238400707
633,2,280.118729230665
634,1,132.13240915462
635,1,144.169767186241
636,2,254.241846797505
637,1,115.867097648722
638,1,172.576030884732
639,5,101.784193991425
640,3,638.422647859168
641,1,334.495475927259
642,3,214.84875111346
643,2,667.595514075681
644,1,142.370445943514
645,1,94.6436239477092
646,1,95.5912082301643
647,5,172.560475602549
648,1,146.44969950978
649,1,126.952157565296
650,1,78.4081387529767
651,1,154.024147346729
652,1,126.516726942351
653,2,251.853492088282
654,2,202.454366423766
655,6,298.568554762745
656,1,223.533864102213
657,3,120.639851537104
658,1,222.449596004325
659,1,161.114552690561
660,6,304.834955101799
661,1,95.9805854497416
662,1,117.948961043493
663,1,143.909630003921
664,1,160.065112394173
665,1,135.163856448022
666,3,147.98247756987
667,1,60.5045500795882
668,1,168.625081784959
669,6,637.981926573409
670,1,180.044353354955
671,3,246.270211336923
672,3,112.199155172716
673,3,282.050103682699
674,1,138.443435757337
675,2,321.079008273127
676,1,215.307984214392
677,2,128.199319569859
678,1,72.5903358450156
679,2,227.379951557094
680,1,188.948892162754
681,2,108.487501119309
682,1,161.778675487337
683,2,109.739323530456
684,1,181.809431080456
685,1,223.954209953501
686,2,153.982652995463
687,1,104.429656800019
688,1,117.296796500439
689,1,141.271529750421
690,1,148.637778153599
691,1,173.063804200022
692,6,224.267306818327
693,3,462.028361298864
694,1,199.040507892931
695,6,92.3498601465379
696,1,142.978008037537
697,3,89.6480968499992
698,3,166.819922457772
699,1,189.139445101515
700,1,198.355908975681
701,1,147.493419954778
702,1,160.10795375487
703,1,111.434324285191
704,1,122.006375512504
705,1,176.447031563134
706,1,156.080820719814
707,3,172.98606960278
708,1,68.5111600581906
709,3,389.758492759392
710,2,165.381796251737
711,2,277.497904213274
712,1,83.289094751741
713,1,70.3170282637041
714,2,210.902702120575
715,6,154.488133305049
716,6,122.3469727179
717,1,145.73611477406
718,1,274.421973530283
719,2,196.424093722775
720,2,261.628130865391
721,6,138.947272301573
722,2,182.761506467169
723,1,105.604059475504
724,2,379.174847655629
725,1,78.8971844453151
726,1,88.4640721869343
727,2,266.183066001046
728,1,104.556285306241
729,2,170.019848158203
730,1,256.266994698645
731,2,139.831123261011
732,2,186.22221507015
733,6,247.072597386058
734,6,318.238347480842
735,2,224.122974983422
736,1,285.315454954169
737,2,262.50409990621
738,2,216.693273292176
739,1,178.257006496541
740,1,125.494858702366
741,1,235.964619897222
742,1,102.781505644984
743,1,230.993001129807
744,1,165.87322610314
745,1,151.394967320845
746,1,84.0282988238262
747,6,155.607478985803
748,1,156.957790281252
749,6,220.863085872832
750,2,215.05352888745
751,1,181.540915214821
752,6,99.3366287041033
753,6,238.673786392599
754,3,311.144418046238
755,1,89.5026030371285
756,2,103.287141388441
757,2,141.168633384494
758,2,233.291039929478
759,1,96.8049815966741
760,5,107.145711220001
761,1,68.2334548980637
762,3,168.649158498678
763,1,105.218321915485
764,1,87.1508334689464
765,3,199.731723128803
766,6,174.563544426146
767,5,217.702772902218
768,1,110.870258207127
769,1,187.870106269938
770,1,254.129602559813
771,1,89.5322373680021
772,1,88.6449900452959
773,1,71.5217337155938
774,2,181.659181387266
775,3,211.586176254967
776,3,148.795957973937
777,3,163.433755312911
778,5,104.077557267211
779,3,273.544421827872
780,1,209.340820442787
781,6,190.320354752474
782,2,324.198144095313
783,1,98.4832331900049
784,6,394.877153315182
785,1,119.393389270853
786,1,89.0858031940553
787,2,178.45765136296
788,6,145.68678800056
789,2,190.47912245314
790,6,260.859370498
791,2,734.23818496712
792,6,216.72721942883
793,3,132.304558811748
794,6,420.645399596125
795,3,77.5184960616796
796,1,201.253228537206
